Product name,Reference,Category,SKU,Price CZK,Price EUR,Imp. Cost EUR,Imp. Cost CZK,Weight (g),Imported (pcs),Stock (pcs),Total orders
Bút cán gỗ sz16,2410 Bút cán gỗ sz16,Bút,A0000752,1200,48,18.44,466.74,100,200,-4,0
Bút đắp bột - kim cương - sz16,2410 Bút chấm bi sz16,Bút,A0000753,1200,48,18.44,466.74,100,200,-1,0
Tay bào trắng Korea SH20N,2410 Tay bào SH20N Trắng,Đồ điện,A0000754,3400,136,65.51,"1,658.47",100,20,-1,0
Vòng bi to Japan,2507 Vòng bi Japan chính to,Tools & Accessories,A0001056,110,7,1.15,28.25,100,100,-2,0
Vòng bi nhỏ Japan,2507 Vòng bi Japan chính nhỏ,Tools & Accessories,A0001057,110,6,0.64,15.65,100,100,-2,0
1KG - Gel đắp CLEAR,2511 Gel đắp - 1KG - Clear,Gel đắp,A0001185,2100,85,38.51,931.47,100,5,-1,0
1KG - Gel đắp NATURAL PINK,2511 Gel đắp - 1KG - Natural Pink,Gel đắp,A0001186,2100,85,38.51,931.47,100,5,-1,0
1KG - Gel đắp MAKEUP ⌗1,2511 Gel đắp - 1KG - Makeup 1,Gel đắp,A0001189,2100,85,38.51,931.47,100,5,-1,0
1KG - Gel đắp MAKEUP ⌗2,2511 Gel đắp - 1KG - Makeup 2,Gel đắp,A0001190,2100,85,38.51,931.47,100,5,-1,0
1KG - Gel đắp MAKEUP ⌗3,2511 Gel đắp - 1KG - Makeup 3,Gel đắp,A0001191,2100,85,38.51,931.47,100,5,-1,0
Cắt fen thường,2410 Cắt fen thường,Tools & Accessories,A0000765,100,6,0.59,14.93,100,200,-1,0
Cắt fen sâu - E,2410 Cắt fen sâu - E,Tools & Accessories,A0000766,150,6,0.59,14.93,100,200,-1,0
XXS ULTRA,2410 XXS,Đầu bào,A0000767,180,8,2.60,65.65,100,300,-5,0
XC - tròn,2410 XC Đầu tròn,Đầu bào,A0000768,180,8,Loading...,Loading...,100,100,-1,0
Bào Mịn SM,2410 SM,Đầu bào,A0000769,170,8,2.60,65.65,100,100,-5,0
C - bào lửa,2410 C - Bào Lửa,Đầu bào,A0000771,180,8,2.60,Loading...,100,100,-2,0
Bào khoé tròn,2410 Bào khoé tròn,Đầu bào,A0000772,180,8,2.60,Loading...,100,50,-3,0
XXS Hoa cúc ULTRA,2410 XXS Hoa cúc,Đầu bào,A0000773,180,8,2.60,65.65,100,100,-3,0
Base coat 15ml,2410 Base coat 15ml,Hoá chất,A0000781,250,10,1.81,45.78,100,200,-3,0
Sơn màu SORAH 15ml,2410 Sơn SORAH 15ml,Sơn màu,A0000782,100,4,1.63,41.13,100,8640,-4,0
SORAH 144 quyển màu,2410 SORAH 144 quyển màu,Sơn màu,A0000783,0,0,15.40,Loading...,100,60,-2,0
Máy hút bụi bàn di dộng,2505 Máy hút bụi bàn di động,Đồ điện,A0000994,1500,60,28.38,707.12,100,24,-1,0
Dũa Bông hoa đen 80/80,2410 Dũa Hoa hồng 80/80,Dũa,A0000786,650,25,Loading...,232.22,100,200,-2,0
Tip Thẳng Straight jet - Lẻ (50c),2511 Tip thẳng Straight Jet,Tips,A0001216,18,0.7,0.35,8.49,100,3810,-140,0
Vỏ nhám trắng ⌗150 (1000c),2511 Vỏ nhám trắng M-150,Tools & Accessories,A0001218,1000,40,14.48,350.28,100,100,-1,0
Vỏ nhám trắng ⌗120 - C (1000c),2511 Vỏ nhám trắng C-120,Tools & Accessories,A0001219,1000,40,14.48,350.28,100,100,-1,0
Vỏ nhám trắng ⌗180 - F (1000c),2410 Vỏ Nhám Trắng ⌗180 1000c,Tools & Accessories,A0000790,1000,40,9.15,230.92,100,50,-1,0
Set Hộp đá - 7 màu,2410 Set Hộp đá - 7 màu,Design,A0000791,750,30,7.97,201.00,100,50,-1,0
Set Hộp đá - bạc,2410 Set Hộp đá - bạc,Design,A0000792,750,30,7.08,Loading...,100,50,-1,0
Set Hộp đá - vàng,2410 Set Hộp đá - vàng,Đồ điện,A0000793,750,30,8.26,208.35,100,50,-1,0
Set Hộp đá - chữ vàng,2410 Set Hộp đá - chữ vàng,Design,A0000794,875,35,10.33,260.57,100,50,-1,0
Kem Mango Vera 5kg,2410 Kem Mango Vera 5KG,Hoá chất,A0000795,725,29,10.52,Loading...,100,80,-1,0
Callus Remover 5kg,2511 Callus Remover 4.2kg,Pedicure,A0001221,1125,42,15.64,377.43,100,100,-1,0
Xô Muối ngâm chân - mịn 23kg,2511 Muối ngâm chân Xô 23kg,Hoá chất,A0001223,2500,100,37.23,898.67,100,36,-1,0
Chổi quét bàn to,2507 Chổi quét bàn to,Tools & Accessories,A0001046,200,8,#N/A,39.64,100,1000,-5,0
4XC đầu vát,2410 4XC Đầu vát,Đầu bào,A0000802,180,8,2.93,Loading...,100,100,-1,0
Kìm Nghĩa D01 Mũi 16,2507 Kìm Nghĩa D01 Mũi 16,Tools & Accessories,A0001026,260,12,5.11,125.96,100,100,-2,0
