Product name	Reference	Category	SKU	Price CZK	Price EUR	Imp. Cost EUR	Imp. Cost CZK
Chai sơn không 15ml	2409 Chai sơn không 15ml	Tools & Accessories	A0000743	37.5	1.5	0.06	1.60
Chai primer không 15ml	2511 Chai primer không	Tools & Accessories	A0001164	37.5	1.5	0.79	19.02
Chai bond không 15ml	2511 Chai bond không	Tools & Accessories	A0001163	37.5	1.5	0.79	19.02
Hộp đựng phá tròn trắng	2409 Hộp đựng phá tròn trắng	Tools & Accessories	A0000746	125	5	0.57	14.32
Bút cán gỗ sz16	2410 Bút cán gỗ sz16	Bút	A0000752	1200	48	18.44	466.74
Bút đắp bột - kim cương - sz16	2410 Bút chấm bi sz16	Bút	A0000753	1200	48	18.44	466.74
Tay bào trắng Korea SH20N	2410 Tay bào SH20N Trắng	Đồ điện	A0000754	3400	136	65.51	1,658.47
Vòng bi to Japan	2507 Vòng bi Japan chính to	Tools & Accessories	A0001056	110	7	1.15	28.25
Vòng bi nhỏ Japan	2507 Vòng bi Japan chính nhỏ	Tools & Accessories	A0001057	110	6	0.64	15.65
1KG - Gel đắp CLEAR	2601 Gel dap 1KG - Clear	Gel đắp	A0001274	2100	85	44.66	1,083.18
1KG - Gel đắp NATURAL PINK	2601 Gel dap 1KG - Natural Pink	Gel đắp	A0001275	2100	85	44.66	1,083.18
1KG - Gel đắp MAKEUP ⌗1	2601 Gel dap 1KG - Makeup 1	Gel đắp	A0001278	2100	85	44.66	1,083.18
1KG - Gel đắp MAKEUP ⌗2	2601 Gel dap 1KG - Makeup 2	Gel đắp	A0001279	2100	85	44.66	1,083.18
1KG - Gel đắp MAKEUP ⌗3	2511 Gel đắp - 1KG - Makeup 3	Gel đắp	A0001191	2100	85	38.51	931.47
Cắt fen thường	2410 Cắt fen thường	Tools & Accessories	A0000765	100	6	0.59	14.93
Cắt fen sâu - E	2410 Cắt fen sâu - E	Tools & Accessories	A0000766	150	6	0.59	14.93
XXS ULTRA	2410 XXS	Đầu bào	A0000767	180	8	2.60	65.65
XC - tròn	2410 XC Đầu tròn	Đầu bào	A0000768	180	8	2.60	65.65
Bào Mịn SM	2410 SM	Đầu bào	A0000769	170	8	2.60	65.65
C - bào lửa	2410 C - Bào Lửa	Đầu bào	A0000771	180	8	2.60	65.65
Bào khoé tròn	2410 Bào khoé tròn	Đầu bào	A0000772	180	8	2.60	65.65
XXS Hoa cúc ULTRA	2410 XXS Hoa cúc	Đầu bào	A0000773	180	8	2.60	65.65
Base coat 15ml	2410 Base coat 15ml	Hoá chất	A0000781	250	10	1.81	45.78
Sơn màu SORAH 15ml	2601 Gel Polish Sorah 15ml	Sơn màu	A0001269	100	4	1.58	38.42
SORAH 144 quyển màu	2410 SORAH 144 quyển màu	Sơn màu	A0000783	0	0	15.40	389.57
